code,name,index
777000,IF2509多单持仓排行,49669
777001,IF2509空单持仓排行,50959
000001,上证指数,3876.34
000002,Ａ股指数,4063.30
000003,Ｂ股指数,265.21
000004,工业指数,3517.86
000005,商业指数,2975.06
000006,地产指数,4897.80
000007,公用指数,4704.51
000008,综合指数,3480.06
000009,上证380,6488.32
000010,上证180,9930.08
000011,基金指数,7124.07
000012,国债指数,224.91
000015,红利指数,3020.55
000016,上证50,2952.78
000017,新综指,3276.35
000018,180金融,5652.52
000019,治理指数,1203.11
000020,中型综指,1693.02
000021,180治理,1050.32
000022,沪公司债,252.21
000025,180基建,1825.88
000026,180资源,4610.48
000027,180运输,780.19
000028,180成长,3845.20
000029,180价值,4285.68
000030,180R成长,2546.59
000031,180R价值,3170.83
000032,上证能源,1844.03
000033,上证材料,3064.46
000034,上证工业,2199.07
000035,上证可选,3197.94
000036,上证消费,11654.47
000037,上证医药,7407.59
000038,上证金融,5625.57
000039,上证信息,5513.27
000040,上证电信,3928.56
000041,上证公用,2559.19
000042,上证央企,1779.43
000043,超大盘,2589.11
000044,上证中盘,4541.08
000045,上证小盘,5656.50
000046,上证中小,5070.55
000047,上证全指,3870.52
000048,责任指数,1446.88
000049,上证民企,2031.87
000050,50等权,2347.49
000051,180等权,9159.59
000052,50基本,2895.31
000053,180基本,12272.96
000054,上证海外,1507.46
000055,上证地企,1523.48
000056,上证国企,1184.63
000057,全指成长,3809.58
000058,全指价值,4520.77
000059,全R成长,3323.23
000060,全R价值,4332.01
000061,沪企债30,177.78
000062,上证沪企,2082.46
000063,上证周期,3749.86
000064,非周期,3670.83
000065,上证龙头,3570.19
000066,上证商品,3139.00
000067,上证新兴,8584.64
000068,上证资源,3453.07
000069,消费80,5431.32
000070,能源等权,2634.44
000071,材料等权,4162.75
000072,工业等权,2932.31
000073,可选等权,3661.91
000074,消费等权,7453.24
000075,医药等权,7875.73
000076,金融等权,5510.95
000077,信息等权,5863.85
000078,电信等权,3288.94
000079,公用等权,2524.93
000090,上证流通,1421.79
000091,沪财中小,14561.50
000092,资源50,4192.85
000093,180分层,12203.51
000094,上证上游,3798.05
000095,上证中游,3764.39
000096,上证下游,4591.11
000097,高端装备,10991.19
000098,上证F200,5397.23
000099,上证F300,9089.69
000100,上证F500,6110.48
000101,5年信用,249.94
000102,沪投资品,6771.44
000103,沪消费品,8954.42
000104,380能源,1293.13
000105,380材料,4872.49
000106,380工业,5647.13
000107,380可选,6136.23
000108,380消费,12628.50
000109,380医药,11337.01
000110,380金融,4295.74
000111,380信息,9715.99
000112,380电信,6034.77
000113,380公用,2953.18
000114,持续产业,1213.46
000115,380等权,8623.91
000116,信用100,198.28
000117,380成长,4318.68
000118,380价值,9822.21
000119,380R成长,4350.38
000120,380R价值,9449.61
000121,医药主题,9197.00
000122,农业主题,1606.57
000123,180动态,6927.26
000125,180稳定,11761.91
000126,消费50,8887.92
000128,380基本,9007.37
000129,180波动,15126.08
000130,380波动,13397.92
000131,上证高新,3996.58
000132,上证100,5964.85
000133,上证150,6516.41
000134,上证银行,1020.42
000135,180高贝,6066.66
000136,180低贝,12996.57
000137,380高贝,6020.66
000138,380低贝,8076.66
000139,上证转债,417.54
000141,380动态,3948.40
000142,380稳定,9549.96
000145,优势资源,6913.37
000146,优势制造,7362.18
000147,优势消费,7445.84
000148,消费领先,10008.49
000149,180红利,3969.64
000150,380红利,11698.76
000151,上国红利,1528.31
000152,上央红利,2865.83
000153,上民红利,3149.80
000155,市值百强,3231.51
000158,上证环保,1328.31
000159,沪股通,3604.89
000160,沪新丝路,1969.49
000161,沪中国造,1714.44
000162,沪互联+,3808.15
000170,50AH优选,6110.49
000300,沪深300,4551.02
000510,中证A500,5492.41
000680,科创综指,1638.71
000681,科创价格,1582.59
000682,科创信息,1952.63
000683,科创生物,1275.55
000685,科创芯片,2516.33
000687,科创高装,1297.13
000688,科创50,1370.43
000689,科创材料,1120.27
000690,科创成长,1727.03
000691,科创ESG,1432.13
000692,科创新能,1169.14
000693,科创机械,1422.22
000695,科长三角,1012.13
000697,科大湾区,1346.08
000698,科创100,1433.19
000699,科创200,1280.26
000802,500沪市,7412.30
000814,细分医药,9615.30
000819,有色金属,7381.73
000823,800有色,8554.16
000827,中证环保,1782.79
000847,腾讯济安,3497.95
000849,300非银,10668.11
000851,百发100,19540.99
000852,中证1000,7554.81
000853,CSSW丝路,1598.08
000854,500原料,5184.01
000856,500工业,6906.30
000857,500医药,11491.78
000858,500信息,10193.13
000860,结构调整,1200.23
000863,CS精准医,3135.34
000865,上海国企,1492.84
000867,港中小企,2960.65
000869,HK银行,4113.85
000888,上证收益,4417.22
000891,新兴综指,1856.68
000901,小康指数,6233.23
000903,中证A100,4363.62
000905,中证500,7260.04
000906,中证800,5007.85
000913,300医药,9661.44
000914,300金融,6551.58
000928,中证能源,2741.87
000932,中证消费,16939.32
000933,中证医药,9341.59
000934,中证金融,6191.79
000935,中证信息,6384.36
000974,800金融,6912.65
000982,500等权,8802.26
000986,全指能源,2201.36
000987,全指材料,4197.02
000989,全指可选,5782.75
000991,全指医药,10094.47
000992,全指金融,5927.95
000993,全指信息,8472.13
399001,深证成指,13215.46
399002,深成指R,17696.43
399003,成份Ｂ指,9029.40
399004,深证100R,8181.61
399005,中小100,8042.44
399006,创业板指,3147.35
399007,深证300,5587.36
399008,中小300,1626.65
399009,深证200,5091.34
399010,深证700,8738.95
399011,深证1000,6442.94
399012,创业300,4464.77
399013,深市精选,5421.11
399015,中小创新,2990.90
399016,深证创新,5614.11
399017,SME创新,4905.14
399018,创业创新,5834.92
399019,创业200,4558.88
399020,创业小盘,1815.16
399030,碳科技30,4359.16
399050,创新引擎,3041.98
399060,碳科技60,3286.45
399088,深创100,4853.43
399100,新指数,11805.91
399101,中小综指,14310.80
399102,创业板综,3927.24
399103,乐富指数,9103.29
399106,深证综指,2510.52
399107,深证Ａ指,2626.49
399108,深证Ｂ指,1361.03
399231,农林指数,1499.83
399232,采矿指数,3387.22
399233,制造指数,3355.60
399234,水电指数,912.98
399235,建筑指数,1104.33
399236,批零指数,1534.44
399237,运输指数,1143.61
399238,餐饮指数,1517.82
399239,IT指数,2248.63
399240,金融指数,1755.49
399241,地产指数,1338.59
399242,商务指数,1439.89
399243,科研指数,1544.58
399244,公共指数,631.36
399248,文化指数,1010.26
399249,综企指数,2677.11
399258,绿色低碳,4171.54
399259,创业低碳,4744.55
399260,先进制造,3590.11
399261,创业制造,5758.48
399262,数字经济,2781.12
399263,创业数字,3113.45
399264,创业软件,1659.69
399265,创新药械,1178.22
399266,创新能源,3441.94
399267,专精特新,2210.31
399268,深小巨人,2034.09
399269,创质量,7564.54
399274,深新基建,5655.73
399275,创医药,2996.87
399276,创科技,7483.09
399277,公共健康,2870.72
399278,长江100,2073.44
399279,云科技50,4735.10
399280,生物50,2300.35
399281,电子50,4636.47
399282,大数据50,5742.08
399283,机器人50,4565.95
399284,AI 50,4008.22
399285,物联网50,5825.11
399286,区块链50,4331.33
399289,碳中和债,120.21
399290,深转交债,186.72
399291,创精选88,4406.33
399292,民企发展,1459.96
399293,创业大盘,6360.84
399294,中小创Q,3558.61
399295,创价值,5603.64
399296,创成长,5984.53
399297,新浪100,6017.21
399298,深信中高,212.82
399299,深信中低,244.89
399300,沪深300,4551.02
399301,深信用债,216.66
399302,深公司债,220.37
399303,国证2000,9899.16
399306,深证ETF,1832.20
399307,深证转债,349.70
399310,国证A50,7877.35
399311,国证1000,4862.77
399312,国证300,5356.93
399313,巨潮100,5396.92
399314,巨潮大盘,5044.02
399315,巨潮中盘,4611.39
399316,巨潮小盘,5898.35
399317,国证Ａ指,6721.25
399318,国证Ｂ指,5425.70
399319,资源优势,2832.30
399320,国证服务,2186.63
399321,国证红利,7551.65
399322,国证治理,10062.65
399324,深证红利,9118.31
399326,成长40,5827.08
399328,深证治理,10854.82
399330,深证100,5773.09
399333,中小100R,9784.99
399335,深证央企,4253.10
399337,深证民营,6453.04
399339,深证科技,8976.80
399341,深证责任,1673.58
399344,深证300R,7355.03
399346,深证成长,4175.81
399348,深证价值,6454.21
399350,皖江30,2781.57
399351,创新示范,10757.58
399352,深企综指,10856.45
399353,国证物流,2178.44
399354,分析师指数,8240.89
399355,长三角,3711.81
399356,珠三角,10376.61
399357,环渤海,3430.40
399358,国证环保,5339.14
399359,国证基建,2711.87
399360,新硬件,7942.87
399361,在线消费,4187.65
399362,民企100,8648.09
399363,国证算力,8961.56
399364,消费100,10957.13
399365,国证粮食,12665.39
399366,能源金属,2251.24
399367,1000地产,2969.06
399368,国证军工,7798.92
399369,国证责任,1549.84
399370,国证成长,4853.95
399371,国证价值,6905.53
399372,大盘成长,5118.01
399373,大盘价值,8220.16
399374,中盘成长,4241.24
399375,中盘价值,5543.66
399376,小盘成长,6029.48
399377,小盘价值,7625.22
399378,ESG 300,2850.08
399379,国证基金,9204.29
399380,国证ETF,1821.94
399381,1000能源,2848.52
399382,1000材料,3181.73
399383,1000工业,2852.81
399384,1000可选,4334.23
399385,1000消费,10300.97
399386,1000医药,6596.51
399387,1000金融,5554.86
399388,1000信息,6451.23
399389,国证通信,7183.85
399390,1000公用,2630.90
399391,投资时钟,3364.62
399392,国证新兴,2986.52
399393,国证地产,3507.15
399394,国证医药,9793.89
399395,国证有色,7707.35
399396,国证食品,19184.12
399397,国证文化,2450.97
399398,绩效指数,11172.75
399399,中经GDP,8042.96
399400,大中盘,4112.38
399401,中小盘,4689.14
399402,周期100,3622.72
399403,防御100,9012.11
399405,大盘高贝,3073.43
399406,中盘低波,13139.61
399407,中盘高贝,3072.27
399408,小盘低波,15150.20
399409,小盘高贝,6376.35
399410,苏州率先,2772.09
399411,红利100,3463.37
399412,国证新能,2896.36
399413,国证转债,177.84
399415,I100,7070.19
399416,I300,4698.15
399417,新能源车,3759.69
399418,数据要素,4551.97
399419,国证高铁,2231.15
399420,国证保证,1546.49
399422,中关村A,3594.94
399423,中关村50,3057.35
399428,国证定增,4351.24
399429,新丝路,1488.09
