code,name,price,exchange,amount
600000,浦发银行,9.54,4.69亿,2800.20亿
600004,白云机场,9.85,2.48亿,233.12亿
600006,东风股份,7.24,10.39亿,144.80亿
600007,中国国贸,22.19,7596.74万,223.52亿
600008,首创环保,3.36,2.89亿,246.64亿
600009,上海机场,36.29,5.35亿,696.29亿
600010,包钢股份,1.90,12.68亿,598.45亿
600011,华能国际,7.12,4.19亿,783.04亿
600012,皖通高速,14.72,2.32亿,171.58亿
600015,华夏银行,7.08,3.05亿,1089.42亿
600016,民生银行,3.77,7.00亿,1336.92亿
600017,日照港,3.11,1.28亿,95.65亿
600018,上港集团,6.02,3.41亿,1397.52亿
600019,宝钢股份,6.58,4.48亿,1438.25亿
600020,中原高速,4.12,5575.24万,92.59亿
600021,上海电力,9.80,4.63亿,256.48亿
600022,山东钢铁,1.49,2.08亿,159.41亿
600023,浙能电力,5.75,2.34亿,771.00亿
600025,华能水电,9.60,4.04亿,1728.00亿
600026,中远海能,12.91,3.95亿,448.59亿
600027,华电国际,5.58,4.01亿,474.88亿
600028,中国石化,6.32,12.93亿,6002.23亿
600029,南方航空,6.26,8.65亿,793.35亿
600030,中信证券,31.13,96.58亿,3790.56亿
600031,三一重工,18.23,11.54亿,1543.03亿
600032,浙江新能,8.02,6325.67万,192.85亿
600033,福建高速,3.49,1.01亿,95.78亿
600035,楚天高速,4.15,5696.19万,66.82亿
600036,招商银行,37.82,26.71亿,7801.87亿
600037,歌华有线,7.35,1.46亿,102.30亿
600038,中直股份,40.49,4.13亿,238.68亿
600039,四川路桥,7.49,2.66亿,501.84亿
600048,保利发展,10.11,12.71亿,1210.21亿
600050,中国联通,5.81,97.24亿,1799.10亿
600051,宁波联合,6.51,2290.44万,20.24亿
600052,东望时代,4.68,4804.78万,39.51亿
600053,九鼎投资,15.74,1.22亿,68.24亿
600054,黄山旅游,11.67,6243.98万,59.90亿
600055,万东医疗,17.69,3.67亿,95.67亿
600056,中国医药,12.20,7.33亿,182.43亿
600057,厦门象屿,6.07,1.96亿,133.06亿
600058,五矿发展,7.48,7348.39万,80.18亿
600059,古越龙山,9.02,1.51亿,82.22亿
600060,海信视像,21.60,3.76亿,279.74亿
600061,国投资本,7.79,5.59亿,500.53亿
600062,华润双鹤,21.65,4.28亿,222.31亿
600063,皖维高新,3.97,6977.64万,76.46亿
600064,南京高科,7.72,1.56亿,133.58亿
600066,宇通客车,23.06,5.69亿,510.53亿
600067,冠城大通,3.20,1.29亿,44.53亿
600071,凤凰光学,22.90,1.49亿,64.48亿
600072,中船科技,13.71,4.77亿,148.53亿
600073,光明肉业,7.01,7619.61万,65.73亿
600075,新疆天业,4.44,5681.84万,75.81亿
600076,康欣新材,2.16,4025.03万,29.04亿
600078,澄星股份,6.22,1.06亿,41.21亿
600079,人福医药,23.50,10.67亿,362.65亿
600080,金花股份,6.69,2015.27万,24.97亿
600081,东风科技,10.61,1.51亿,58.68亿
600082,海泰发展,2.89,7097.70万,18.33亿
600084,中信尼雅,5.91,3256.93万,66.41亿
600085,同仁堂,41.01,4.65亿,562.44亿
600088,中视传媒,18.58,4.03亿,73.89亿
600089,特变电工,13.93,7.97亿,703.85亿
600094,大名城,3.59,1.18亿,81.73亿
600095,湘财股份,7.57,2.70亿,216.44亿
600096,云天化,22.36,5.53亿,410.16亿
600097,开创国际,9.37,5661.77万,22.58亿
600098,广州发展,6.40,1.38亿,223.92亿
600099,林海股份,9.38,3323.08万,20.55亿
