code,name,price,rise,change,exchange,amount
600000,浦发银行,10.37,0.97,0.10,3.89亿,3043.82亿
600004,白云机场,9.27,0.33,0.03,8200.79万,219.39亿
600006,东风股份,6.94,-0.43,-0.03,2.34亿,138.80亿
600007,中国国贸,24.36,2.10,0.50,7473.15万,245.37亿
600008,首创环保,3.12,0.00,0.00,1.53亿,229.03亿
600009,上海机场,33.09,-0.33,-0.11,2.32亿,634.90亿
600010,包钢股份,1.80,-1.10,-0.02,4.58亿,566.95亿
600011,华能国际,6.34,-1.09,-0.07,1.80亿,697.25亿
600012,皖通高速,16.32,1.18,0.19,8128.38万,190.23亿
600015,华夏银行,7.55,0.13,0.01,2.29亿,1161.74亿
600016,民生银行,4.06,1.25,0.05,8.03亿,1439.76亿
600017,日照港,2.99,0.34,0.01,7106.28万,91.96亿
600018,上港集团,5.74,0.17,0.01,1.78亿,1332.52亿
600019,宝钢股份,6.58,-0.30,-0.02,3.67亿,1433.26亿
600020,中原高速,4.06,1.25,0.05,4400.07万,91.24亿
600021,上海电力,8.52,-2.52,-0.22,5.31亿,222.98亿
600022,山东钢铁,1.39,0.72,0.01,1.13亿,148.71亿
600023,浙能电力,5.22,-0.95,-0.05,2.21亿,699.94亿
600025,华能水电,8.88,-0.45,-0.04,2.02亿,1598.40亿
600026,中远海能,12.95,-3.29,-0.44,8.48亿,449.98亿
600027,华电国际,4.98,-1.58,-0.08,3.48亿,423.81亿
600028,中国石化,6.17,-0.80,-0.05,8.79亿,5851.74亿
600029,南方航空,6.28,-0.95,-0.06,3.98亿,795.89亿
600030,中信证券,27.40,0.33,0.09,25.09亿,3336.38亿
600031,三一重工,15.92,3.24,0.50,15.30亿,1347.50亿
600032,浙江新能,7.03,-0.14,-0.01,3025.68万,169.05亿
600033,福建高速,3.94,0.77,0.03,9416.69万,108.13亿
600035,楚天高速,4.30,0.47,0.02,3237.67万,69.23亿
600036,招商银行,40.12,-1.45,-0.59,21.96亿,8276.33亿
600037,歌华有线,7.03,-1.40,-0.10,8560.26万,97.84亿
600038,中直股份,37.03,-0.43,-0.16,1.29亿,218.28亿
600039,四川路桥,7.01,-0.57,-0.04,1.03亿,469.93亿
600048,保利发展,8.60,-0.69,-0.06,10.68亿,1029.46亿
