code,name,price,rise,change,exchange,amount
600000,浦发银行,10.27,1.18,0.12,4.11亿,3014.47亿
600004,白云机场,9.19,-0.76,-0.07,1.21亿,217.50亿
600006,东风股份,7.04,2.77,0.19,2.62亿,140.80亿
600007,中国国贸,23.51,-1.47,-0.35,6291.98万,236.81亿
600008,首创环保,3.14,-0.63,-0.02,1.97亿,230.49亿
600009,上海机场,33.01,-0.27,-0.09,2.83亿,633.36亿
600010,包钢股份,1.83,1.67,0.03,6.78亿,576.40亿
600011,华能国际,6.53,-0.46,-0.03,2.19亿,718.15亿
600012,皖通高速,16.16,-1.46,-0.24,1.52亿,188.36亿
600015,华夏银行,7.68,0.13,0.01,2.60亿,1181.74亿
600016,民生银行,4.06,0.99,0.04,6.66亿,1439.76亿
600017,日照港,3.05,-0.65,-0.02,7965.45万,93.81亿
600018,上港集团,5.84,-1.68,-0.10,2.43亿,1355.73亿
600019,宝钢股份,6.73,-2.60,-0.18,7.63亿,1471.04亿
600020,中原高速,4.08,-1.21,-0.05,5288.20万,91.69亿
600021,上海电力,8.81,-0.90,-0.08,1.82亿,230.57亿
600022,山东钢铁,1.40,1.45,0.02,9989.42万,149.78亿
600023,浙能电力,5.30,-1.67,-0.09,2.30亿,710.66亿
600025,华能水电,9.13,-0.98,-0.09,2.20亿,1643.40亿
600026,中远海能,11.59,-0.85,-0.10,2.32亿,402.73亿
600027,华电国际,5.14,-3.02,-0.16,4.57亿,437.43亿
600028,中国石化,6.53,-0.46,-0.03,6.03亿,6193.17亿
600029,南方航空,6.20,0.16,0.01,2.54亿,785.75亿
600030,中信证券,27.16,0.37,0.10,26.50亿,3307.15亿
600031,三一重工,15.52,-0.39,-0.06,6.11亿,1313.65亿
600032,浙江新能,7.06,-0.42,-0.03,3138.35万,169.77亿
600033,福建高速,3.96,-0.75,-0.03,2.16亿,108.68亿
600035,楚天高速,4.42,-0.23,-0.01,4526.95万,71.17亿
600036,招商银行,38.90,-0.38,-0.15,19.17亿,8024.66亿
600037,歌华有线,6.90,0.58,0.04,9530.88万,96.03亿
600038,中直股份,37.19,0.68,0.25,9179.42万,219.23亿
600039,四川路桥,7.21,-0.41,-0.03,1.49亿,483.08亿
600048,保利发展,8.67,1.52,0.13,8.96亿,1037.84亿
600050,中国联通,4.90,0.82,0.04,10.00亿,1532.73亿
600051,宁波联合,6.32,1.94,0.12,1419.61万,19.65亿
600052,东望时代,4.19,0.48,0.02,2927.79万,35.37亿
600053,九鼎投资,13.57,5.93,0.76,1.02亿,58.83亿
600054,黄山旅游,10.94,0.92,0.10,4407.23万,56.16亿
600055,万东医疗,14.44,-0.76,-0.11,7649.40万,78.09亿
600056,中国医药,11.10,-2.89,-0.33,3.39亿,165.98亿
600057,厦门象屿,6.02,-1.47,-0.09,1.19亿,131.99亿
600058,五矿发展,6.97,0.29,0.02,3097.17万,74.71亿
600059,古越龙山,8.37,-0.83,-0.07,6992.46万,76.30亿
600060,海信视像,20.09,0.80,0.16,2.70亿,260.18亿
600061,国投资本,7.07,0.57,0.04,1.41亿,452.05亿
